name,WKT
Heathrow Airport,"POLYGON((-0.17715437739318968 51.358255336323985, -0.47616996418490176 51.25795838736092, -0.4946806813960295 51.26843858616461, -0.5359013398777431 51.296184474761866, -0.57314800667326 51.32605940906347, -0.6061341360394729 51.35783996147786, -0.6346034657077073 51.391287979571686, -0.6583321116475211 51.42615228619524, -0.6771304768953714 51.462170487983876, -0.6908449546538 51.49907088162018, -0.6993594057154571 51.536574446181646, -0.7025963904166322 51.57439690883617, -0.700518135828913 51.61225087010068, -0.6931272198022087 51.649847973865846, -0.6804669548173798 51.68690110643407, -0.6778020646571989 51.69231070499948, -0.2339518602225323 51.657689925096136, -0.17715437739318968 51.358255336323985))"
London City Airport,"POLYGON((0.4487281969602602 51.246952925031735, 0.4417972991426152 51.24302886384121, 0.3935979741667755 51.220144665654246, 0.3802123710237113 51.214862048741104, -0.17715437739318968 51.358255336323985, -0.2339518602225323 51.657689925096136, -0.05901465785133003 51.73519773544587, 0.34046260351159713 51.65860537386151, 0.4487281969602602 51.246952925031735))"
London Stansted Airport,"POLYGON((0.34046260351159713 51.65860537386151, -0.05901465785133003 51.73519773544587, -0.07158858643739086 52.008470876405624, -0.0654762046863348 52.00897106281253, -0.004001649999999996 52.01063914090068, 0.0574729046863347 52.00897106281253, 0.11846601173170526 52.0039798949992, 0.17850031577317726 51.99570472559417, 0.2371066007695244 51.98421033199232, 0.29382774742707113 51.96958663092219, 0.34822255829811055 51.95194791708856, 0.3998694102848804 51.93143189873123, 0.4483696974151172 51.908198540556825, 0.49335103048030987 51.88242872642092, 0.5344701643309019 51.85432275583628, 0.5714156281793304 51.82409868983751, 0.5962422777632618 51.799567172127986, 0.34046260351159713 51.65860537386151))"
London Southend Airport,"POLYGON((0.34046260351159713 51.65860537386151, 0.5962422777632618 51.799567172127986, 0.60391003904227 51.79199056292937, 0.6317120833283043 51.75824647877485, 0.6546181564222093 51.72312660794254, 0.6724636548173798 51.68690110643407, 0.6851239198022084 51.649847973865846, 0.6925148358289128 51.61225087010068, 0.6945930904166322 51.57439690883617, 0.691356105715457 51.536574446181646, 0.6828416546538 51.49907088162018, 0.6691271768953714 51.462170487983876, 0.6503288116475211 51.42615228619524, 0.6266001657077073 51.391287979571686, 0.5981308360394731 51.35783996147786, 0.5651447066732601 51.32605940906347, 0.5278980398777432 51.296184474761866, 0.4866773813960295 51.26843858616461, 0.4487281969602602 51.246952925031735, 0.34046260351159713 51.65860537386151))"
London Gatwick Airport,"POLYGON((-0.17715437739318968 51.358255336323985, 0.3802123710237113 51.214862048741104, 0.34244266196039264 51.19995626513391, 0.2887150413750886 51.18261367052934, 0.23281646756344704 51.16824559024855, 0.1751631445162385 51.1569585495349, 0.11618323197125104 51.14883616240505, 0.05631390075352808 51.143938562085715, -0.004001649999999911 51.14230199243265, -0.0643172007535279 51.143938562085715, -0.12418653197125121 51.14883616240505, -0.1831664445162383 51.1569585495349, -0.24081976756344686 51.16824559024855, -0.2967183413750884 51.18261367052934, -0.3504459619603927 51.19995626513391, -0.40160127416677566 51.220144665654246, -0.44980059914261494 51.24302886384121, -0.47616996418490176 51.25795838736092, -0.17715437739318968 51.358255336323985))"
London Luton Airport,"POLYGON((-0.05901465785133003 51.73519773544587, -0.2339518602225323 51.657689925096136, -0.6778020646571989 51.69231070499948, -0.6626214564222094 51.72312660794254, -0.6397153833283042 51.75824647877485, -0.6119133390422701 51.79199056292937, -0.5794189281793306 51.82409868983751, -0.5424734643309019 51.85432275583628, -0.5013543304803101 51.88242872642092, -0.45637299741511755 51.908198540556825, -0.4078727102848807 51.93143189873123, -0.35622585829811093 51.95194791708856, -0.3018310474270709 51.96958663092219, -0.24510990076952424 51.98421033199232, -0.18650361577317723 51.99570472559417, -0.12646931173170528 52.0039798949992, -0.07158858643739086 52.008470876405624, -0.05901465785133003 51.73519773544587))"
Heathrow Airport,POINT (-0.4550471 51.4679903)
London City Airport,POINT (0.05206189999999999 51.5051411)
London Stansted Airport,POINT (0.2413158 51.8863747)
London Southend Airport,POINT (0.6924774 51.5701932)
London Gatwick Airport,POINT (-0.1820629 51.1536621)
London Luton Airport,POINT (-0.372755 51.875462)
