WKT,name,group,
"POINT (-0.2239056 51.4361179)",Apostolic Nunciature of the Holy See,Consulate
"POINT (-0.2892243 51.5031402)",Embassy of the Democratic People's Republic of Korea,Consulate
"POINT (-0.2431194 51.4417712)",Richmond Park Golf Course,Golf Course
"POINT (-0.163752 51.577321)",Highgate Golf Club,Golf Course
"POINT (-0.3128213 51.5478135)",Sudbury Golf Club,Golf Course
"POINT (0.033751 51.570991)",WGC London: The home of Wanstead Golf Club,Golf Course
"POINT (-0.189066 51.632651)",South Herts Golf Club,Golf Course
"POINT (-0.1380181 51.60163619999999)",Muswell Hill Golf Club,Golf Course
"POINT (-0.1753165 51.5730285)",Hampstead Golf Club,Golf Course
"POINT (-0.2141985 51.4516245)",Royal Hospital For Neuro-disability,Hospital
"POINT (-0.2426609 51.4556562)",Queen Mary's Hospital,Hospital
"POINT (-0.2690778 51.530944)",Central Middlesex Hospital,Hospital
"POINT (-0.0898248 51.5798083)","Child Development Centre, St. Ann's Hospital",Hospital
"POINT (0.0379309 51.5227127)",Newham University Hospital,Hospital
"POINT (0.0032545 51.5778196)",Whipps Cross University Hospital,Hospital
"POINT (0.0501291 51.4790213)",Queen Elizabeth Hospital Emergency Room,Hospital
"POINT (-0.0173012 51.4538715)",University Hospital Lewisham,Hospital
"POINT (-0.3485011 51.5124033)",Hanwell Zoo,Zoo
"POINT (-0.189387 51.566928)",Golders Hill Park Zoo,Zoo
"POINT (0.0433215 51.4865061)",Maryon Wilson Animal Park,Zoo
"POINT (-0.0619967 51.4419283)",Horniman Museum and Gardens,Museum
"POINT (-0.2383246 51.59807900000001)",Royal Air Force Museum London,Museum
"POINT (-0.06103330000000001 51.4409868)",Horniman Aquarium,Aquarium
