name,WKT,group
Heathrow Airport,"POLYGON((-0.2338438069800671 51.65763879777712, -0.1772493716282075 51.35836757186723, -1.044155138561757 51.066702689763645, -1.0715087999996564 51.08853848476067, -1.1266553673698185 51.14132458791935, -1.1743819798096662 51.19690593824704, -1.2143061397328716 51.25486891571362, -1.2460997363720612 51.31478060608569, -1.2694922179688999 51.37619184071251, -1.2842734641380351 51.43864039949799, -1.2902963156593594 51.50165435978776, -1.2874787173459223 51.564755571601175, -1.2758054288946614 51.62746323726013, -1.2553292589226717 51.689297571057736, -1.2329106672535153 51.735803977465686, -0.2338438069800671 51.65763879777712))",Airport
London City Airport,"POLYGON((0.46257500850280425 51.1932600324683, -0.1772493716282075 51.35836757186723, -0.2338438069800671 51.65763879777712, -0.05904071095630647 51.73532265222036, 0.34059532040320406 51.658466898066365, 0.46257500850280425 51.1932600324683))",Airport
London Stansted Airport,"POLYGON((0.34059532040320406 51.658466898066365, -0.05904071095630647 51.73532265222036, -0.0817220545689983 52.229762075942745, -0.02483892249989153 52.228216219695966, 0.07730021439719731 52.219844355752045, 0.17780296323611083 52.20596553853673, 0.2758697629618816 52.18669048933122, 0.3707231348426699 52.16217280232451, 0.4616145884499067 52.13260755186581, 0.5478311520617548 52.098229533790395, 0.6287014507104312 52.05931116371, 0.703601265471323 52.01616005907254, 0.7719585190928061 51.969116335085154, 0.8243645326721717 51.92588572647966, 0.34059532040320406 51.658466898066365))",Airport
London Southend Airport,"POLYGON((0.46257500850280425 51.1932600324683, 0.34059532040320406 51.658466898066365, 0.8243645326721717 51.92588572647966, 0.8332576452655122 51.91854964721034, 0.8870433113007593 51.864856014865374, 0.9329234763200875 51.80845446218046, 0.97057177887774 51.74978351222713, 0.9997292589226714 51.689297571057736, 1.0202054288946611 51.62746323726013, 1.0318787173459223 51.564755571601175, 1.0346963156593594 51.50165435978776, 1.0286734641380348 51.43864039949799, 1.0138922179688996 51.37619184071251, 0.990499736372061 51.31478060608569, 0.9587061397328714 51.25486891571362, 0.9187819798096659 51.19690593824704, 0.8710553673698188 51.14132458791936, 0.8159087999996565 51.08853848476067, 0.7537757305333634 51.038939093085745, 0.6981678903061301 51.001634823380385, 0.46257500850280425 51.1932600324683))",Airport
London Gatwick Airport,"POLYGON((-0.1772493716282075 51.35836757186723, 0.46257500850280425 51.1932600324683, 0.6981678903061301 51.001634823380385, 0.6851369137240984 50.99289305130375, 0.6105165656010243 50.95073970422041, 0.5304783665707636 50.91278884729789, 0.4456213358678511 50.87931869080771, 0.3565756015567269 50.85057405045392, 0.26399808704126687 50.826764769850016, 0.1685681320338176 50.80806437918956, 0.07098306324565452 50.79460899354404, -0.028046272258165608 50.786496453431646, -0.12779999999999986 50.783785709609965, -0.2275537277418341 50.786496453431646, -0.3265830632456548 50.79460899354404, -0.4241681320338174 50.80806437918956, -0.5195980870412668 50.826764769850016, -0.6121756015567266 50.85057405045392, -0.7012213358678511 50.87931869080771, -0.7860783665707637 50.91278884729789, -0.8661165656010241 50.95073970422041, -0.9407369137240983 50.99289305130375, -1.0093757305333635 51.038939093085745, -1.044155138561757 51.066702689763645, -0.1772493716282075 51.35836757186723))",Airport
London Luton Airport,"POLYGON((-0.05904071095630647 51.73532265222036, -0.2338438069800671 51.65763879777712, -1.2329106672535153 51.735803977465686, -1.2261717788777402 51.74978351222713, -1.1885234763200876 51.80845446218046, -1.1426433113007592 51.864856014865374, -1.0888576452655123 51.91854964721034, -1.0275585190928063 51.969116335085154, -0.9592012654713231 52.01616005907254, -0.8843014507104313 52.05931116371, -0.8034311520617554 52.098229533790395, -0.717214588449907 52.1326075518658, -0.6263231348426695 52.16217280232451, -0.5314697629618813 52.18669048933122, -0.43340296323611077 52.20596553853673, -0.33290021439719736 52.219844355752045, -0.23076107750010869 52.228216219695966, -0.1278 52.23101429039002, -0.0817220545689983 52.229762075942745, -0.05904071095630647 51.73532265222036))",Airport
Heathrow Airport,POINT (-0.4550471 51.4679903),Airport
London City Airport,POINT (0.05206189999999999 51.5051411),Airport
London Stansted Airport,POINT (0.2413158 51.8863747),Airport
London Southend Airport,POINT (0.6924774 51.5701932),Airport
London Gatwick Airport,POINT (-0.1820629 51.1536621),Airport
London Luton Airport,POINT (-0.372755 51.875462),Airport
