name,WKT,group
Barbican Cinemas,"POLYGON((-0.09663636929543899 51.52867963446224, -0.08712132122618522 51.5243756290063, -0.09172142466941034 51.5132744318523, -0.09614850442786813 51.51319133916311, -0.10323665438102057 51.516217461364356, -0.10780525941921229 51.52343991553547, -0.10751124573468898 51.52453829438843, -0.09663636929543899 51.52867963446224))",Cinema
BFI IMAX,"POLYGON((-0.11117999564523401 51.50745866492042, -0.10841536627140369 51.505431718742145, -0.11154897184314867 51.48455346522764, -0.12491219817860631 51.50079849402316, -0.11117999564523401 51.50745866492042))",Cinema
BFI Southbank,"POLYGON((-0.12548200277543003 51.50407205309539, -0.12388506748232395 51.50675818289887, -0.12078707904196179 51.510946561827375, -0.11312504223925723 51.51100229078166, -0.11117999564523401 51.50745866492042, -0.12491219817860631 51.50079849402316, -0.12642966886733462 51.502153625269706, -0.12548200277543003 51.50407205309539))",Cinema
Castle Hackney,"POLYGON((-0.03359341961582057 51.53732625474549, -0.0600502881533427 51.55545623882554, -0.061470516732981345 51.56640305618111, -0.054984822564411354 51.56483158421345, -0.05451493553405173 51.56471039726694, -0.0540638 51.56456417221573, -0.022109502867252356 51.554030454587505, -0.03359341961582057 51.53732625474549))",Cinema
Cineworld London Leicester Square,"POLYGON((-0.13008049883252978 51.51039622272692, -0.13117012880842466 51.51026056466603, -0.13203953222104442 51.51045872992421, -0.13218691903812024 51.5117147566112, -0.131067531764098 51.51174220101392, -0.12964707940411382 51.510984978319804, -0.13008049883252978 51.51039622272692))",Cinema
Cineworld The O2 Greenwich,"POLYGON((-0.008100642556414989 51.49261158042295, -0.010663590408360851 51.49320377394731, -0.0001329775532034509 51.52333879733327, 0.003949707931543704 51.52394602130146, 0.01172518158916776 51.52475616008829, 0.013972129200061172 51.51457484288493, 0.014038515089874876 51.514260875346174, 0.014060699999999999 51.5139445, 0.014038515089874876 51.51362812465383, 0.013972129200061172 51.51331415711507, 0.009325629200061173 51.499614857115056, 0.009215547567265269 51.499305686866265, 0.008018773364505889 51.49673540562745, -0.008100642556414989 51.49261158042295))",Cinema
Cineworld Wandsworth,"POLYGON((-0.1748125735782517 51.467640107915564, -0.1689343409757773 51.4661966880669, -0.16269240008666638 51.45059103271084, -0.20975166678474222 51.45530595812867, -0.19298819857202937 51.46733126434729, -0.1748125735782517 51.467640107915564))",Cinema
Cineworld West India Quay,"POLYGON((-0.03570654669893387 51.490262616502726, -0.044255512890499255 51.48878081100571, -0.05172310130735059 51.492359062051065, -0.04740797142283223 51.50555204107811, -0.022951971162414833 51.52607470317591, -0.004545014492127937 51.52367246503986, -0.03570654669893387 51.490262616502726))",Cinema
Clapham Picturehouse,"POLYGON((-0.1283808912628842 51.449335234271125, -0.1478127 51.4491465, -0.14832081798021884 51.449160313245926, -0.1488250688757982 51.44920164785656, -0.16269240008666638 51.45059103271084, -0.1689343409757773 51.4661966880669, -0.164560218866756 51.468786917369236, -0.12478696546141191 51.47416843629839, -0.1283808912628842 51.449335234271125))",Cinema
Crouch End Picturehouse,"POLYGON((-0.12457937546372917 51.570162219891685, -0.12730114683157465 51.57018752288659, -0.12218434644201472 51.570910768466156, -0.12457937546372917 51.570162219891685))",Cinema
Curzon Aldgate,"POLYGON((-0.06767967702190017 51.52462007663501, -0.04740797142283223 51.50555204107811, -0.05172310130735059 51.492359062051065, -0.06469785495379991 51.49227608814516, -0.08209908104183236 51.51126538780142, -0.06998629928832129 51.523748548086694, -0.06767967702190017 51.52462007663501))",Cinema
Curzon Bloomsbury,"POLYGON((-0.14001823497265714 51.53025398135846, -0.11725233516425873 51.53093992012503, -0.10751124573468898 51.52453829438843, -0.10780525941921229 51.52343991553547, -0.12341918891229187 51.51850473419093, -0.141278016190351 51.52970574224785, -0.14001823497265714 51.53025398135846))",Cinema
Curzon Camden,"POLYGON((-0.1590333198313902 51.54201558837238, -0.14446281535446276 51.55669888105252, -0.1283217005750853 51.54827444087782, -0.14001823497265714 51.53025398135846, -0.141278016190351 51.52970574224785, -0.14212675820234108 51.52955363029692, -0.14213396632858816 51.52955356322288, -0.15921667002273415 51.533526743970405, -0.1590333198313902 51.54201558837238))",Cinema
Curzon Hoxton,"POLYGON((-0.06298619462606 51.53227425794567, -0.06767967702190017 51.52462007663501, -0.06998629928832129 51.523748548086694, -0.08712132122618522 51.5243756290063, -0.09663636929543899 51.52867963446224, -0.09452517497012052 51.532099536020446, -0.0886434647251756 51.53778731778192, -0.08553455205641332 51.54018976812839, -0.0710552148883477 51.5379672968344, -0.06298619462606 51.53227425794567))",Cinema
Curzon Mayfair,"POLYGON((-0.1427190690836621 51.51118778944192, -0.1423575189563926 51.51070008481176, -0.13926710134267423 51.50350706185124, -0.1577908407427499 51.494718376037014, -0.17228651042587279 51.50149776922864, -0.16847284838269377 51.509673641950286, -0.15348044668744834 51.51324703335069, -0.1427190690836621 51.51118778944192))",Cinema
