name,WKT,group
Embassy of Afghanistan in London,"POLYGON((-0.1785503678965186 51.5039838526157, -0.1732893913277258 51.50094336361915, -0.17328697597051904 51.50093133677339, -0.17325965023145742 51.50060388791816, -0.17727796669937868 51.50118766235792, -0.1783648510710629 51.50273168717184, -0.17847246273087208 51.50321031997529, -0.1785503678965186 51.5039838526157))",Consulate
Embassy of Albania,"POLYGON((-0.13923138479821554 51.490918301285745, -0.14385534436473085 51.48338699349937, -0.15619050045660177 51.47645241498006, -0.15343487302931544 51.48851398470809, -0.14388684916052977 51.49295679080299, -0.14211950939054688 51.4937132956225, -0.13923138479821554 51.490918301285745))",Consulate
Embassy of Algeria,"POLYGON((-0.1416811487685173 51.52055751465416, -0.13741435752595665 51.519983422516084, -0.13611756360324193 51.519552858844, -0.1360999563050433 51.51907886213645, -0.13711986513221808 51.515199193369114, -0.14315385266122638 51.515668676183545, -0.14357014779798133 51.51922658218746, -0.14353500818129028 51.519490782470676, -0.1416811487685173 51.52055751465416))",Consulate
Consulate General of Algeria,"POLYGON((-0.26117456221288476 51.49976047322414, -0.26553111508987487 51.523142324653826, -0.2655533 51.5234587, -0.26553111508987487 51.52377507534617, -0.26546472920006114 51.52408904288493, -0.26535464756726523 51.52439821313372, -0.26520170797918186 51.52470023312027, -0.26500707439842364 51.524992804290115, -0.26477222810406326 51.5252737, -0.2644989564182048 51.525540782463956, -0.26418933910338366 51.525792019023164, -0.26384573253431753 51.526025497615706, -0.2472885953900234 51.5370843450434, -0.23281070126830503 51.52735429020043, -0.23984175626047632 51.51072377123024, -0.26117456221288476 51.49976047322414))",Consulate
Angola Embassy,"POLYGON((-0.15528289858386402 51.52027244758907, -0.15380054605695898 51.519019714089545, -0.15855695299394282 51.51771415953677, -0.1585815750554378 51.51775432153578, -0.15924301806944308 51.51933128955741, -0.15528289858386402 51.52027244758907))",Consulate
Consulate of Angola,"POLYGON((-0.1360999563050433 51.51907886213645, -0.13611756360324193 51.519552858844, -0.1277269424314176 51.52487174558913, -0.12527845985462352 51.524075431639986, -0.12624861772824497 51.5182653512648, -0.1276751561917135 51.51724045205755, -0.1360999563050433 51.51907886213645))",Consulate
High Commission for Antigua and Barbuda,"POLYGON((-0.16521493322479414 51.51838632669513, -0.16861138039505477 51.52072590279698, -0.1655668519213196 51.520293974773274, -0.1650871872122803 51.51843576024651, -0.16521493322479414 51.51838632669513))",Consulate
Embassy of Argentina,"POLYGON((-0.14628359224920173 51.51232790743025, -0.15182612069380075 51.51219475452946, -0.1530514801726286 51.51348804577636, -0.15192990928040234 51.51355436468097, -0.14901127814141651 51.51360977140916, -0.14628359224920173 51.51232790743025))",Consulate
Embassy of Armenia,"POLYGON((-0.13201347689162424 51.506477762141984, -0.13077969908233 51.50407832629525, -0.13364429772416006 51.50363209549353, -0.13607644555430382 51.50574626038064, -0.13490081806192433 51.50780786639273, -0.13201347689162424 51.506477762141984))",Consulate
Australian High Commission,"POLYGON((-0.11714729570503343 51.5157431636157, -0.11597786972542887 51.51590081945648, -0.11234975077529638 51.515947833119604, -0.10950991734254104 51.50292394342498, -0.11497095838236675 51.50645581366879, -0.11577273255246665 51.507267989188925, -0.11714729570503343 51.5157431636157))",Consulate
