name,WKT,group
St Thomas' Hospital,"POLYGON((-0.0979349946534928 51.48650240338009, -0.13439683506460992 51.47419815792354, -0.1333944399007763 51.509956195659534, -0.13194871388674184 51.51079566936217, -0.11849101845483977 51.511198482794256, -0.10440692231716603 51.5058191527474, -0.0979349946534928 51.48650240338009))",Hospital
King's College Hospital,"POLYGON((-0.14202843691816863 51.46549932138493, -0.13758475206505064 51.47194634391612, -0.13439683506460992 51.47419815792354, -0.0979349946534928 51.48650240338009, -0.03347115614168215 51.48255277009429, -0.004156634021717681 51.47493102109545, 0.08219549145908597 51.445507758088795, 0.07324750048429143 51.43486651985141, 0.06232158716487692 51.42423649153141, 0.04995662211244586 51.414239395360035, 0.036247076451597506 51.40495087595806, 0.021297404608356687 51.39644117222343, 0.005221246229229075 51.388774596434494, -0.011859434220662803 51.38200905841522, -0.029815263789242024 51.376195637977155, -0.04851042669962114 51.37137820849997, -0.06780367257321471 51.36759311414964, -0.08754936030776096 51.36486890286149, -0.10759853059726764 51.36322611683732, -0.12779999999999997 51.362677141921985, -0.14800146940273232 51.36322611683732, -0.1680506396922391 51.36486890286149, -0.18656976469278266 51.36742389157859, -0.14202843691816863 51.46549932138493))",Hospital
St Mary's Hospital,"POLYGON((-0.15987881416883984 51.509346471747584, -0.169714959563346 51.503915743110376, -0.19866716690027364 51.50322705146042, -0.20486368300411584 51.50677197166822, -0.20514038872166804 51.52506803420918, -0.16454855077702593 51.52552657980849, -0.16338395770526493 51.52225535297006, -0.16077115719613846 51.5132817973859, -0.15987881416883984 51.509346471747584))",Hospital
St Bartholomew's Hospital,"POLYGON((-0.10440692231716603 51.5058191527474, -0.11849101845483977 51.511198482794256, -0.10576095644144777 51.52634604791397, -0.08374517911324066 51.517163120658644, -0.10275682956590934 51.50650558631454, -0.10440692231716603 51.5058191527474))",Hospital
"London Bridge Hospital, part of HCA Healthcare UK","POLYGON((-0.08374517911324066 51.517163120658644, -0.0785548741986378 51.5175407094541, -0.060670219791785863 51.502058456730474, -0.10275682956590934 51.50650558631454, -0.08374517911324066 51.517163120658644))",Hospital
Royal Free Hospital,"POLYGON((-0.14160558300791165 51.55078360060035, -0.15448603390988994 51.540971165967846, -0.22352974567541392 51.55212210375429, -0.29727554109769516 51.60642549489298, -0.2925856316994723 51.609619279590646, -0.27762474121965125 51.6181688951085, -0.26151526429773814 51.62587417009646, -0.2443801776328366 51.632676018859314, -0.23860464566172077 51.634548773148865, -0.14160558300791165 51.55078360060035))",Hospital
The Royal London Hospital,"POLYGON((-0.07412728289386822 51.52340893483076, -0.05968988032446001 51.529982024566515, -0.004156634021717681 51.47493102109545, -0.03347115614168215 51.48255277009429, -0.060670219791785863 51.502058456730474, -0.0785548741986378 51.5175407094541, -0.07412728289386822 51.52340893483076))",Hospital
Homerton Healthcare NHS Foundation Trust,"POLYGON((-0.054586838470180976 51.5371574325101, -0.09031461678443842 51.56295960028124, -0.05467471458831022 51.64467129608658, -0.048035687707979724 51.643368017755115, -0.029249492816443005 51.63852225827794, -0.011219822367163505 51.632676018859314, 0.005915264297738034 51.62587417009646, 0.02202474121965118 51.6181688951085, 0.03698563169947228 51.609619279590646, 0.0506839553694314 51.600290848525994, 0.06301559892934695 51.59025505350276, 0.073887103844382 51.57958871497106, 0.08321636518151984 51.56837342411378, 0.09093323667909374 51.55669490929619, 0.09698003808318036 51.54464237229982, 0.09730994276306389 51.54370301289667, -0.054586838470180976 51.5371574325101))",Hospital
University College Hospital,"POLYGON((-0.14252998627204483 51.52187600414042, -0.15164246212601204 51.533455608905115, -0.12686411125756167 51.52961547772096, -0.13237301609018776 51.512175440804356, -0.14252998627204483 51.52187600414042))",Hospital
Whittington Hospital,"POLYGON((-0.09031461678443842 51.56295960028124, -0.10235744590880982 51.55412284951218, -0.14160558300791165 51.55078360060035, -0.23860464566172077 51.634548773148865, -0.22635050718355693 51.63852225827794, -0.20756431229202024 51.643368017755115, -0.18816560929749113 51.64717609230083, -0.1683032436160423 51.64991723570872, -0.14812971985281556 51.65157039127908, -0.1278 51.652122858078, -0.10747028014718446 51.65157039127908, -0.08729675638395773 51.64991723570872, -0.06743439070250884 51.64717609230083, -0.05467471458831022 51.64467129608658, -0.09031461678443842 51.56295960028124))",Hospital
