name,WKT,group
Science Museum,"POLYGON((-0.18163666958365907 51.521879861204944, -0.16917515733404453 51.512901575356416, -0.17423008649596267 51.4976082864341, -0.19004844909333213 51.4932402936455, -0.18163666958365907 51.521879861204944))",Museum
Natural History Museum,"POLYGON((-0.17423008649596267 51.4976082864341, -0.17468844528593747 51.487799435213766, -0.19638772055859458 51.47481423555589, -0.19004844909333213 51.4932402936455, -0.17423008649596267 51.4976082864341))",Museum
Victoria and Albert Museum,"POLYGON((-0.16917515733404453 51.512901575356416, -0.15259669943401216 51.502897887025874, -0.15012057244195495 51.49871614444184, -0.17468844528593747 51.487799435213766, -0.17423008649596267 51.4976082864341, -0.16917515733404453 51.512901575356416))",Museum
Imperial War Museum,"POLYGON((-0.05749617755499601 51.48692474716411, -0.09056776989796832 51.39757272756599, -0.13365040655549598 51.48920772084818, -0.11769338051778483 51.5028391940147, -0.11684313239587764 51.50333332177115, -0.10363871498280115 51.507449053691694, -0.05749617755499601 51.48692474716411))",Museum
The National Gallery,"POLYGON((-0.11684313239587764 51.50333332177115, -0.11769338051778483 51.5028391940147, -0.13750651854160717 51.51048735333486, -0.13314239357907656 51.51444468575203, -0.12933268650393592 51.51425571605283, -0.11684313239587764 51.50333332177115))",Museum
Twist Museum,"POLYGON((-0.13750651854160717 51.51048735333486, -0.15259669943401216 51.502897887025874, -0.16917515733404453 51.512901575356416, -0.18163666958365907 51.521879861204944, -0.2555802581490432 51.6282300971495, -0.2443801776328366 51.632676018859314, -0.22635050718355693 51.63852225827794, -0.21663303611934895 51.641028807782796, -0.13314239357907656 51.51444468575203, -0.13750651854160717 51.51048735333486))",Museum
The British Museum,"POLYGON((-0.10360865734362974 51.54701375147686, -0.12378567486786965 51.515792642742305, -0.12933268650393592 51.51425571605283, -0.13314239357907656 51.51444468575203, -0.21663303611934895 51.641028807782796, -0.20756431229202024 51.643368017755115, -0.18816560929749113 51.64717609230083, -0.1683032436160423 51.64991723570872, -0.16223097748170304 51.650414838443005, -0.10360865734362974 51.54701375147686))",Museum
London Transport Museum,"POLYGON((-0.12378567486786965 51.515792642742305, -0.10401810257171942 51.509655531239105, -0.10363871498280115 51.507449053691694, -0.11684313239587764 51.50333332177115, -0.12933268650393592 51.51425571605283, -0.12378567486786965 51.515792642742305))",Museum
Bank of England Museum,"POLYGON((-0.09692684888578772 51.538212436534174, -0.03860794084461541 51.5051045845164, -0.05749617755499601 51.48692474716411, -0.10363871498280115 51.507449053691694, -0.10401810257171942 51.509655531239105, -0.09692684888578772 51.538212436534174))",Museum
The Viktor Wynd Museum of Curiosities,"POLYGON((-0.03860794084461541 51.5051045845164, -0.09692684888578772 51.538212436534174, -0.10360865734362974 51.54701375147686, -0.16223097748170304 51.650414838443005, -0.14812971985281556 51.65157039127908, -0.1278 51.652122858078, -0.10747028014718446 51.65157039127908, -0.08729675638395773 51.64991723570872, -0.06743439070250884 51.64717609230083, -0.048035687707979724 51.643368017755115, -0.029249492816443005 51.63852225827794, -0.011219822367163505 51.632676018859314, 0.005915264297738034 51.62587417009646, 0.02202474121965118 51.6181688951085, 0.03698563169947228 51.609619279590646, 0.0506839553694314 51.600290848525994, 0.06301559892934695 51.59025505350276, 0.073887103844382 51.57958871497106, 0.08321636518151984 51.56837342411378, 0.09093323667909374 51.55669490929619, 0.09202539699522493 51.55451800588288, -0.03860794084461541 51.5051045845164))",Museum
