name,WKT,group
South Park,"POLYGON((-0.19808670477316673 51.47266091738637, -0.19417055058752886 51.4728148312348, -0.1885693630013388 51.469842353532556, -0.18510947230616312 51.46341211720063, -0.19005052082874355 51.460424789153144, -0.19784921951787648 51.46494576336533, -0.19808670477316673 51.47266091738637))",Park
Hurlingham Park,"POLYGON((-0.2128881250200934 51.46746869094971, -0.2079854400107474 51.475837649642, -0.19808670477316673 51.47266091738637, -0.19784921951787648 51.46494576336533, -0.2128881250200934 51.46746869094971))",Park
Wandsworth Park,"POLYGON((-0.19005052082874355 51.460424789153144, -0.22959741678342596 51.37743004015726, -0.24374056577933725 51.38200905841522, -0.26082124622922914 51.388774596434494, -0.27689740460835666 51.39644117222343, -0.2918470764515974 51.40495087595806, -0.30548846851604194 51.414193219796076, -0.2128881250200934 51.46746869094971, -0.19784921951787648 51.46494576336533, -0.19005052082874355 51.460424789153144))",Park
Bishops Park,"POLYGON((-0.30548846851604194 51.414193219796076, -0.30555662211244583 51.414239395360035, -0.3179215871648769 51.42423649153141, -0.3288475004842914 51.43486651985141, -0.3347991164447034 51.44194437269129, -0.24739864607466186 51.47936565706759, -0.2433856151463907 51.48062007028046, -0.20842148456469375 51.47677193943517, -0.20828257445205461 51.47671009661762, -0.2079854400107474 51.475837649642, -0.2128881250200934 51.46746869094971, -0.30548846851604194 51.414193219796076))",Park
Imperial Park,"POLYGON((-0.18510947230616312 51.46341211720063, -0.1885693630013388 51.469842353532556, -0.17511936266253164 51.48244683416523, -0.1664434766065675 51.47075994024249, -0.1818481703751581 51.46402599043395, -0.18510947230616312 51.46341211720063))",Park
William Parnell Park,"POLYGON((-0.17511936266253164 51.48244683416523, -0.1885693630013388 51.469842353532556, -0.19417055058752886 51.4728148312348, -0.17768045906359528 51.48818044225818, -0.17511936266253164 51.48244683416523))",Park
Eel Brook Common Playground,"POLYGON((-0.17768045906359528 51.48818044225818, -0.19417055058752886 51.4728148312348, -0.19808670477316673 51.47266091738637, -0.2079854400107474 51.475837649642, -0.20828257445205461 51.47671009661762, -0.17991188748354903 51.49201889966754, -0.17823488475877317 51.49136370264704, -0.17768045906359528 51.48818044225818))",Park
Lillie Road Recreation Ground,"POLYGON((-0.21127505909475372 51.482152877833805, -0.20842148456469375 51.47677193943517, -0.2433856151463907 51.48062007028046, -0.23016334358153465 51.48846898591991, -0.21127505909475372 51.482152877833805))",Park
Bayonne Park,"POLYGON((-0.21035466490740884 51.49178544748234, -0.21127505909475372 51.482152877833805, -0.23016334358153465 51.48846898591991, -0.22994179396357514 51.488644694692894, -0.21035466490740884 51.49178544748234))",Park
Normand Park,"POLYGON((-0.20534330395472639 51.494006660879144, -0.18040120175499072 51.492376898570726, -0.17991188748354903 51.49201889966754, -0.20828257445205461 51.47671009661762, -0.20842148456469375 51.47677193943517, -0.21127505909475372 51.482152877833805, -0.21035466490740884 51.49178544748234, -0.20534330395472639 51.494006660879144))",Park
Battersea Park,"POLYGON((-0.13984404443657478 51.482901335085664, -0.1409666432344532 51.480973592251516, -0.1572995746654701 51.469507865749414, -0.16402195827725344 51.47001579406149, -0.1664434766065675 51.47075994024249, -0.17511936266253164 51.48244683416523, -0.17768045906359528 51.48818044225818, -0.17823488475877317 51.49136370264704, -0.15899515917023813 51.493372491933926, -0.15796847205644474 51.493162741428456, -0.13984404443657478 51.482901335085664))",Park
Clapham Common,"POLYGON((-0.12328719632986708 51.442492868562056, -0.12229988563607778 51.4327114102828, -0.12856611200724555 51.362697961015186, -0.14800146940273232 51.36322611683732, -0.14901937297887455 51.36330952167376, -0.16011169586100565 51.43970617630152, -0.15281938743588894 51.4666694524751, -0.1311555392459094 51.461711278871185, -0.12948293063356645 51.46088708832436, -0.12572466438767751 51.45391357027841, -0.12328719632986708 51.442492868562056))",Park
Spencer Park,"POLYGON((-0.16011169586100565 51.43970617630152, -0.14901937297887455 51.36330952167376, -0.1680506396922391 51.36486890286149, -0.18779632742678523 51.36759311414964, -0.20708957330037878 51.37137820849997, -0.22578473621075795 51.376195637977155, -0.22959741678342596 51.37743004015726, -0.19005052082874355 51.460424789153144, -0.18510947230616312 51.46341211720063, -0.1818481703751581 51.46402599043395, -0.16656640694592187 51.45481137490183, -0.16011169586100565 51.43970617630152))",Park
St Mark's Children's Playground,"POLYGON((-0.1818481703751581 51.46402599043395, -0.1664434766065675 51.47075994024249, -0.16402195827725344 51.47001579406149, -0.16656640694592187 51.45481137490183, -0.1818481703751581 51.46402599043395))",Park
