name,WKT,group
Blackfriars,"POLYGON((-0.11598366188755516 51.51377853096373, -0.09699126361292583 51.51238338796892, -0.0974745219067014 51.505719058442956, -0.114305445978251 51.50996999780005, -0.11598366188755516 51.51377853096373))",Rail Station
Cannon Street,"POLYGON((-0.09699126361292583 51.51238338796892, -0.0952911284136801 51.515523931173846, -0.08559968287985788 51.51452011423362, -0.08493555484293566 51.514187807115555, -0.0844337257321833 51.50873411280044, -0.0967540561939644 51.50500011441519, -0.0974745219067014 51.505719058442956, -0.09699126361292583 51.51238338796892))",Rail Station
Charing Cross,"POLYGON((-0.11466436627711889 51.50940216996991, -0.12696528382038139 51.497429305034885, -0.1489707962899636 51.51007835897266, -0.14360600221011785 51.51564937246004, -0.12012092301359222 51.51956233303309, -0.11598366188755516 51.51377853096373, -0.114305445978251 51.50996999780005, -0.11466436627711889 51.50940216996991))",Rail Station
City Thameslink,"POLYGON((-0.12012092301359222 51.51956233303309, -0.11949343691198419 51.5200829916563, -0.11870301671874821 51.52048687790045, -0.10675857991415967 51.52582318239854, -0.10080842833485197 51.52268551709325, -0.0952911284136801 51.515523931173846, -0.09699126361292583 51.51238338796892, -0.11598366188755516 51.51377853096373, -0.12012092301359222 51.51956233303309))",Rail Station
Euston,"POLYGON((-0.12012092301359222 51.51956233303309, -0.14360600221011785 51.51564937246004, -0.167676277340533 51.56536832337468, -0.11949343691198419 51.5200829916563, -0.12012092301359222 51.51956233303309))",Rail Station
Fenchurch Street,"POLYGON((0.0978460713872583 51.5421764584246, 0.10131196173235041 51.53230779973479, 0.10389737631479515 51.51978525516257, 0.10471802664690927 51.50717015754791, 0.10376912921902115 51.49455855169627, 0.10105936411258622 51.48204637632309, 0.0966107647058831 51.46972873534592, 0.09045850734580035 51.457699177892486, 0.08980322314729407 51.45672142727141, -0.0844337257321833 51.50873411280044, -0.08493555484293566 51.514187807115555, 0.0978460713872583 51.5421764584246))",Rail Station
King’s Cross,"POLYGON((-0.10675857991415967 51.52582318239854, -0.11870301671874821 51.52048687790045, -0.18887285050547573 51.64703725687237, -0.18816560929749113 51.64717609230083, -0.1683032436160423 51.64991723570872, -0.14812971985281556 51.65157039127908, -0.1278 51.652122858078, -0.10747028014718446 51.65157039127908, -0.08729675638395773 51.64991723570872, -0.06743439070250884 51.64717609230083, -0.05611958820396811 51.644954932907, -0.10675857991415967 51.52582318239854))",Rail Station
Liverpool Street,"POLYGON((-0.0843943314574085 51.521919031746904, 0.08023727933633752 51.571954770271326, 0.08321636518151984 51.56837342411378, 0.09093323667909374 51.55669490929619, 0.09698003808318036 51.54464237229982, 0.0978460713872583 51.5421764584246, -0.08493555484293566 51.514187807115555, -0.08559968287985788 51.51452011423362, -0.0843943314574085 51.521919031746904))",Rail Station
London Bridge,"POLYGON((0.08980322314729407 51.45672142727141, 0.0826506038670689 51.446048992380575, 0.07324750048429143 51.43486651985141, 0.06232158716487692 51.42423649153141, 0.04995662211244586 51.414239395360035, 0.036247076451597506 51.40495087595806, 0.021297404608356687 51.39644117222343, 0.019308453641776996 51.3954926593408, -0.09661064585027038 51.48936759991902, -0.0967540561939644 51.50500011441519, -0.0844337257321833 51.50873411280044, 0.08980322314729407 51.45672142727141))",Rail Station
Marylebone,"POLYGON((-0.167676277340533 51.56536832337468, -0.14360600221011785 51.51564937246004, -0.1489707962899636 51.51007835897266, -0.15646075371963816 51.50802464394424, -0.2830539055410596 51.615066321261445, -0.27762474121965125 51.6181688951085, -0.26151526429773814 51.62587417009646, -0.2443801776328366 51.632676018859314, -0.22635050718355693 51.63852225827794, -0.21355602193750922 51.641822500742926, -0.167676277340533 51.56536832337468))",Rail Station
