WKT,name,group,
"POINT (-0.092982 51.5209865)",Barbican Cinemas,Cinema,
"POINT (-0.1136318 51.50487889999999)",BFI IMAX,Cinema,
"POINT (-0.1157983 51.50660939999999)",BFI Southbank,Cinema,
"POINT (-0.0432945 51.55129609999999)",Castle Hackney,Cinema,
"POINT (-0.1304653 51.5108106)",Cineworld London Leicester Square,Cinema,
"POINT (0.0044716 51.5031924)",Cineworld The O2 Greenwich,Cinema,
"POINT (-0.1933645 51.45393780000001)",Cineworld Wandsworth,Cinema,
"POINT (-0.2834149 51.5568719)",Cineworld Wembley,Cinema,
"POINT (-0.022363 51.5078639)",Cineworld West India Quay,Cinema,
"POINT (-0.1076152 51.5943418)",Cineworld Wood Green,Cinema,
"POINT (-0.1381214 51.46249779999999)",Clapham Picturehouse,Cinema,
"POINT (-0.1208803 51.5816442)",Crouch End Picturehouse,Cinema,
"POINT (-0.0690075 51.5137742)",Curzon Aldgate,Cinema,
"POINT (-0.1231058 51.5241103)",Curzon Bloomsbury,Cinema,
"POINT (-0.143483 51.54224989999999)",Curzon Camden,Cinema,
"POINT (-0.0837518 51.5288916)",Curzon Hoxton,Cinema,
"POINT (-0.1479457 51.5065673)",Curzon Mayfair,Cinema,
"POINT (-0.1066922 51.5085457)",Curzon Sea Containers,Cinema,
"POINT (-0.1305849 51.5127004)",Curzon Soho,Cinema,
"POINT (-0.1368256 51.4974876)",Curzon Victoria,Cinema,
"POINT (-0.07617199999999999 51.4564201)",East Dulwich Picturehouse & Cafe,Cinema,
"POINT (-0.2048903 51.5155712)",Electric Cinema,Cinema,
"POINT (-0.2254695 51.5106918)",Electric Cinema White City House,Cinema,
"POINT (-0.1034537 51.5042871)",Electric Theatre,Cinema,
"POINT (-0.1884812 51.5138922)",Everyman at The Whiteley,Cinema,
"POINT (-0.1565296 51.5205192)",Everyman Baker Street,Cinema,
"POINT (-0.0922331 51.5055291)",Everyman Borough Yards,Cinema,
"POINT (-0.0846253 51.519645)",Everyman Broadgate,Cinema,
"POINT (-0.0177658 51.5062028)",Everyman Canary Wharf,Cinema,
"POINT (-0.1733363 51.4855354)",Everyman Chelsea,Cinema,
"POINT (-0.1790612 51.5564587)",Everyman Hampstead,Cinema,
"POINT (-0.1241383 51.53738569999999)",Everyman Kings Cross,Cinema,
"POINT (-0.1817177 51.52805069999999)",Everyman Maida Vale,Cinema,
"POINT (-0.1459137 51.5896477)",Everyman Muswell Hill,Cinema,
"POINT (-0.1036783 51.5368743)",Everyman Screen on the Green,Cinema,
"POINT (-0.0106596 51.54260439999999)",Everyman Stratford International,Cinema,
"POINT (-0.1075742 51.5651512)",Finsbury Park Picturehouse,Cinema,
"POINT (-0.05112200000000001 51.5211404)",Genesis Cinema,Cinema,
"POINT (-0.0096668 51.4794877)",Greenwich Picturehouse,Cinema,
"POINT (-0.0550042 51.5446763)",Hackney Picturehouse,Cinema,
"POINT (-0.1159625 51.5153551)",Hunterian Museum,Cinema,
"POINT (-0.2225068 51.5376296)",Lexi Cinema,Cinema,
"POINT (-0.0312093 51.40713119999999)",ODEON Beckenham,Cinema,
"POINT (0.0127925 51.49059219999999)",ODEON Greenwich,Cinema,
"POINT (-0.1036498 51.5388668)",ODEON Luxe & Dine Islington,Cinema,
"POINT (-0.281298 51.5257984)",ODEON Luxe Acton,Cinema,
"POINT (-0.1312027 51.5095573)",ODEON Luxe Haymarket,Cinema,
"POINT (-0.1214329 51.5586166)",ODEON Luxe Holloway,Cinema,
"POINT (-0.129325 51.5104854)",ODEON Luxe Leicester Square,Cinema,
"POINT (-0.2142387 51.4652107)",ODEON Luxe Putney,Cinema,
"POINT (-0.1745679 51.54251)",ODEON Luxe Swiss Cottage,Cinema,
"POINT (-0.1301796 51.5099216)",ODEON Luxe West End,Cinema,
"POINT (-0.1324275 51.5183526)",ODEON Tottenham Court Rd,Cinema,
"POINT (-0.2405215 51.4752289)",Olympic Studios,Cinema,
"POINT (-0.0682969 51.47072739999999)",Peckhamplex,Cinema,
"POINT (-0.1336792 51.5106645)",Picturehouse Central,Cinema,
"POINT (-0.1428726 51.5168378)",Regent Street Cinema,Cinema,
"POINT (-0.0755165 51.5496766)",Rio Cinema,Cinema,
"POINT (-0.115018 51.4612025)",Ritzy Cinema and Cafe,Cinema,
"POINT (-0.2510323 51.4930793)",The Chiswick Cinema,Cinema,
"POINT (-0.1447024 51.4813402)",The Cinema in The Power Station,Cinema,
"POINT (-0.1971972 51.5087493)",The Gate Picturehouse,Cinema,
"POINT (0.056795 51.4506497)",Vue Cinema Eltham,Cinema,
"POINT (-0.181876 51.548198)",Vue Cinema London - Finchley Road,Cinema,
"POINT (-0.194538 51.480692)",Vue Cinema London - Fulham Broadway,Cinema,
"POINT (-0.1059779 51.53420699999999)",Vue Cinema London - Islington,Cinema,
"POINT (-0.17338 51.60390899999999)",Vue Cinema London - North Finchley,Cinema,
"POINT (-0.134201 51.508855)",Vue Cinema London - Piccadilly,Cinema,
"POINT (-0.21867 51.503236)",Vue Cinema London - Shepherd's bush,Cinema,
"POINT (-0.129496 51.511515)",Vue Cinema London - West End (Leicester Square),Cinema,
"POINT (-0.221698 51.50786)",Vue Cinema London - Westfield (Shepherd's Bush),Cinema,
"POINT (-0.006416 51.543674)",Vue Cinema London - Westfield Stratford,Cinema,
"POINT (-0.1086684 51.5968938)",Vue Cinema London - Wood Green,Cinema,
"POINT (-0.1031715 51.4330661)",West Norwood Picturehouse,Cinema,
"POINT (-0.1656591 51.5507749)",Everyman Belsize Park,Cinema,
"POINT (-0.1286103 51.4321656)",ODEON Streatham,Cinema,
"POINT (0.056795 51.4506497)",Vue Cinema Eltham,Cinema,
