WKT,name,group,
"POINT (-0.1188859 51.4991539)",St Thomas' Hospital,Hospital,
"POINT (-0.0923331 51.4686713)",King's College Hospital,Hospital,
"POINT (-0.1742676 51.5175558)",St Mary's Hospital,Hospital,
"POINT (-0.1014168 51.5168725)",St Bartholomew's Hospital,Hospital,
"POINT (-0.0860519 51.5062543)","London Bridge Hospital, part of HCA Healthcare UK",Hospital,
"POINT (-0.1661582 51.5538237)",Royal Free Hospital,Hospital,
"POINT (-0.0589782 51.5183701)",The Royal London Hospital,Hospital,
"POINT (-0.0460987 51.5506338)",Homerton Healthcare NHS Foundation Trust,Hospital,
"POINT (-0.1364556 51.5250869)",University College Hospital,Hospital,
"POINT (-0.1384747 51.5662426)",Whittington Hospital,Hospital,
"POINT (-0.120741 51.5231639)",Great Ormond Street Hospital for Children,Hospital,
"POINT (-0.09003159999999999 51.5274468)",Moorfields Eye Hospital,Hospital,
"POINT (-0.1319239 51.53641469999999)",North London NHS Foundation Trust,Hospital,
"POINT (-0.2195543 51.4868889)",Charing Cross Hospital,Hospital,
"POINT (-0.2357804999999999 51.5171954)",Hammersmith Hospital,Hospital,
"POINT (-0.1747259 51.5332726)",St John & St Elizabeth Hospital London,Hospital,
"POINT (-0.1503295 51.5208573)",King Edward VII's Hospital,Hospital,
"POINT (-0.1497023 51.5197137)",University College Hospital at Westmoreland Street,Hospital,
"POINT (-0.1505428 51.5202319)",Weymouth Street Hospital,Hospital,
"POINT (-0.08685459999999999 51.5033114)",Guy's Hospital,Hospital,
"POINT (-0.0431959 51.5245377)",Mile End Hospital,Hospital,
"POINT (-0.0772543 51.53392119999999)",St Leonard's Hospital,Hospital,
"POINT (-0.1725817 51.4900992)",Royal Marsden Hospital,Hospital,
"POINT (-0.1817018 51.4843947)",Chelsea and Westminster Hospital,Hospital,
"POINT (-0.1484996 51.4994755)",Cleveland Clinic London Hospital,Hospital,
