WKT,name,group
"POINT (-0.1944951 51.4690816)",South Park,Park,
"POINT (-0.2014554 51.4689986)",Hurlingham Park,Park,
"POINT (-0.2042393 51.4625699)",Wandsworth Park,Park,
"POINT (-0.2200555 51.4732198)",Bishops Park,Park,
"POINT (-0.1831027 51.4714563)",Imperial Park,Park,
"POINT (-0.1882993 51.4736045)",William Parnell Park,Park,
"POINT (-0.195247 51.476493)",Eel Brook Common Playground,Park,
"POINT (-0.2173929 51.4825919)",Lillie Road Recreation Ground,Park,
"POINT (-0.2152404 51.4850856)",Bayonne Park,Park,
"POINT (-0.2067792 51.4847724)",Normand Park,Park,
"POINT (-0.1564981 51.4791075)",Battersea Park,Park,
"POINT (-0.1493071 51.4589252)",Clapham Common,Park,
"POINT (-0.176277 51.4574082)",Spencer Park,Park,
"POINT (-0.1710444 51.46077)",St Mark's Children's Playground,Park,
"POINT (-0.1602116 51.4600677)",Clapham Common West Playground,Park,
"POINT (-0.2036668 51.5032252)",Holland Park,Park,
"POINT (-0.2198333 51.496182)",Brook Green,Park,
"POINT (-0.2389906 51.4966868)",Ravenscourt Park,Park,
"POINT (-0.2468426 51.49745679999999)",Stamford Brook Common,Park,
"POINT (-0.2489888 51.5019133)",Wendell Park playground,Park,
"POINT (-0.2366667 51.5027778)",Cathnor Park,Park,
"POINT (-0.228438 51.50292839999999)",William Church Estate Playground,Park,
"POINT (-0.2228719 51.50389939999999)",Shepherd's Bush Green,Park,
"POINT (-0.2279042999999999 51.5099106)",Hammersmith Park,Park,
"POINT (-0.2382724 51.5106992)",Wormholt Park,Park,
"POINT (-0.2477754 51.5108239)",Trinity Way Open Space,Park,
"POINT (-0.2396492 51.5213345)",Wormwood Scrubs Open Space,Park,
"POINT (-0.2286125 51.5233278)",Little Wormwood Scrubs Recreation Ground,Park,
"POINT (-0.1641135 51.5073638)",Hyde Park,Park,
"POINT (-0.1339534 51.502967)",St James's Park,Park,
"POINT (-0.1434016 51.5039416)",The Green Park,Park,
"POINT (-0.1248639 51.4950629)",Horseferry Playground,Park,
"POINT (-0.1353487 51.493579)",Vincent Square,Park,
"POINT (-0.1309632 51.4733469)",Larkhall Park,Park,
"POINT (-0.1420833 51.4711527)",Heathbrook Park,Park,
"POINT (-0.0939468 51.4644431)",Ruskin Park,Park,
