name,WKT
Blackfriars,"POLYGON((-0.11598401880465078 51.51377831630733, -0.09699123757102024 51.51238351372741, -0.0974745890166199 51.50571966037817, -0.11430518829753437 51.509969394803804, -0.11598401880465078 51.51377831630733))"
Cannon Street,"POLYGON((-0.08559982608537586 51.51452023180327, -0.08493563595207589 51.514187981404234, -0.08443363762580372 51.508733889242414, -0.09675406481564007 51.50500084791627, -0.0974745890166199 51.50571966037817, -0.09699123757102024 51.51238351372741, -0.09529082614677077 51.51552373744795, -0.08559982608537586 51.51452023180327))"
Charing Cross,"POLYGON((-0.1201221049192368 51.51956174354794, -0.11598401880465078 51.51377831630733, -0.11430518829753437 51.509969394803804, -0.1146645873306897 51.50940095979139, -0.1269659621480091 51.497430812628664, -0.14897302647489347 51.51007741700369, -0.1436051539637367 51.51565015478051, -0.1201221049192368 51.51956174354794))"
City Thameslink,"POLYGON((-0.11949216233973779 51.520084302366804, -0.11870201438220683 51.520487942851645, -0.10675938545448065 51.52582203024476, -0.10080965519724022 51.522685415895445, -0.09529082614677077 51.51552373744795, -0.09699123757102024 51.51238351372741, -0.11598401880465078 51.51377831630733, -0.1201221049192368 51.51956174354794, -0.11949216233973779 51.520084302366804))"
Euston,"POLYGON((-0.16767729520972469 51.56535982559566, -0.11949216233973779 51.520084302366804, -0.1201221049192368 51.51956174354794, -0.1436051539637367 51.51565015478051, -0.16767729520972469 51.56535982559566))"
Fenchurch Street,"POLYGON((-0.08443363762580372 51.508733889242414, -0.08493563595207589 51.514187981404234, 0.11288344158011694 51.54447125841684, 0.11504200560808334 51.538325829391546, 0.11762774829523395 51.52580328372716, 0.11844849319920402 51.51318818576327, 0.11749945659932368 51.500576580315325, 0.1147893201430971 51.488064406085904, 0.11034012052462006 51.475746766957236, 0.10418703911636439 51.46371721200042, 0.097889398025663 51.454321746841366, -0.08443363762580372 51.508733889242414))"
King’s Cross,"POLYGON((-0.10675938545448065 51.52582203024476, -0.11870201438220683 51.520487942851645, -0.19055406718734608 51.65003795108202, -0.1744738739811669 51.653194166738054, -0.1546088717219437 51.65593531198261, -0.1344326694360437 51.657588468677986, -0.11410025000000001 51.65814093585578, -0.09376783056395636 51.657588468677986, -0.07359162827805633 51.65593531198261, -0.0537266260188331 51.653194166738054, -0.05268989054789288 51.65299067660068, -0.10675938545448065 51.52582203024476))"
Liverpool Street,"POLYGON((0.09519995417782913 51.57648787670727, 0.09694405250496148 51.57439146107168, 0.10466193354541102 51.56271294321394, 0.11070952232328461 51.55066040375907, 0.11288344158011694 51.54447125841684, -0.08493563595207589 51.514187981404234, -0.08559982608537586 51.51452023180327, -0.08439416939612199 51.52191906818158, 0.09519995417782913 51.57648787670727))"
London Bridge,"POLYGON((-0.08443363762580372 51.508733889242414, 0.097889398025663 51.454321746841366, 0.09637809443642789 51.452067029557085, 0.08697374097740353 51.440884560575064, 0.07604637850581418 51.430254536173045, 0.06367977646254178 51.42025744417166, 0.04996841855600772 51.410968929065426, 0.03501677304328845 51.402459229622366, 0.01973593219422442 51.39517289850474, -0.0966106237738688 51.48936911750637, -0.09675406481564007 51.50500084791627, -0.08443363762580372 51.508733889242414))"
Marylebone,"POLYGON((-0.14897302647489347 51.51007741700369, -0.15645826566100776 51.508025537862416, -0.28159486021770475 51.6138076629165, -0.27890773065235513 51.61563733247535, -0.2639448626020832 51.62418695230811, -0.2478332539721933 51.631892231483384, -0.23069589781450275 51.638694084177914, -0.21479156883801734 51.643850487290045, -0.16767729520972469 51.56535982559566, -0.1436051539637367 51.51565015478051, -0.14897302647489347 51.51007741700369))"
