name,WKT
Aldgate,"POLYGON((-0.0696889 51.5141643, -0.06971108491012512 51.51448067534617, -0.06977747079993883 51.51479464288493, -0.06988755243273473 51.51510381313372, -0.07004049202081815 51.51540583312027, -0.07023512560157633 51.51569840429011, -0.07046997189593672 51.5159793, -0.07074324358179518 51.516246382463954, -0.07105286089661636 51.51649761902316, -0.07139646746568243 51.516731097615704, -0.07177144823552747 51.51694504132852, -0.0721749493760734 51.51713782192077, -0.0726039 51.51730797221573, -0.07305503553405172 51.51745419726694, -0.07352492256441134 51.51757538421345, -0.0740099849670523 51.51767061074943, -0.0745065311242018 51.517739152143434, -0.07501078201978115 51.51778048675407, -0.0755189 51.5177943, -0.07602701798021885 51.51778048675407, -0.0765312688757982 51.517739152143434, -0.0770278150329477 51.51767061074943, -0.07751287743558866 51.51757538421345, -0.07798276446594828 51.51745419726694, -0.0784339 51.51730797221573, -0.0788628506239266 51.51713782192077, -0.07926635176447253 51.51694504132852, -0.07964133253431757 51.516731097615704, -0.07998493910338364 51.51649761902316, -0.08029455641820482 51.516246382463954, -0.08056782810406328 51.5159793, -0.08080267439842367 51.51569840429011, -0.08099730797918185 51.51540583312027, -0.08115024756726527 51.51510381313372, -0.08126032920006117 51.51479464288493, -0.08132671508987488 51.51448067534617, -0.0813489 51.5141643, -0.08132671508987488 51.513847924653824, -0.08126032920006117 51.513533957115065, -0.08115024756726527 51.513224786866274, -0.08099730797918185 51.512922766879726, -0.08080267439842367 51.51263019570988, -0.08056782810406328 51.5123493, -0.08029455641820482 51.51208221753604, -0.07998493910338364 51.51183098097683, -0.07964133253431757 51.51159750238429, -0.07926635176447253 51.511383558671476, -0.0788628506239266 51.511190778079225, -0.0784339 51.51102062778426, -0.07798276446594828 51.51087440273305, -0.07751287743558864 51.51075321578654, -0.0770278150329477 51.51065798925057, -0.0765312688757982 51.51058944785656, -0.07602701798021885 51.510548113245925, -0.0755189 51.510534299999996, -0.07501078201978116 51.510548113245925, -0.0745065311242018 51.51058944785656, -0.0740099849670523 51.51065798925057, -0.07352492256441134 51.51075321578654, -0.07305503553405172 51.51087440273305, -0.0726039 51.51102062778426, -0.0721749493760734 51.511190778079225, -0.07177144823552747 51.511383558671476, -0.07139646746568243 51.51159750238429, -0.07105286089661636 51.51183098097683, -0.07074324358179518 51.51208221753604, -0.07046997189593672 51.5123493, -0.07023512560157633 51.51263019570988, -0.07004049202081815 51.512922766879726, -0.06988755243273473 51.513224786866274, -0.06977747079993883 51.513533957115065, -0.06971108491012512 51.513847924653824, -0.0696889 51.5141643))"
Aldgate East,"POLYGON((-0.0659878 51.5153166, -0.06600998491012512 51.51563297534617, -0.06607637079993883 51.51594694288493, -0.06618645243273473 51.51625611313372, -0.06633939202081815 51.51655813312027, -0.06653402560157633 51.516850704290114, -0.06676887189593672 51.5171316, -0.06704214358179518 51.517398682463956, -0.06735176089661636 51.517649919023164, -0.06769536746568243 51.517883397615705, -0.06807034823552748 51.51809734132852, -0.0684738493760734 51.51829012192077, -0.0689028 51.518460272215734, -0.06935393553405172 51.518606497266944, -0.06982382256441136 51.51872768421345, -0.0703088849670523 51.51882291074943, -0.07080543112420179 51.518891452143436, -0.07130968201978115 51.51893278675407, -0.0718178 51.5189466, -0.07232591798021885 51.51893278675407, -0.0728301688757982 51.518891452143436, -0.0733267150329477 51.51882291074943, -0.07381177743558866 51.51872768421345, -0.07428166446594828 51.518606497266944, -0.0747328 51.518460272215734, -0.0751617506239266 51.51829012192077, -0.07556525176447253 51.51809734132852, -0.07594023253431757 51.517883397615705, -0.07628383910338364 51.517649919023164, -0.07659345641820482 51.517398682463956, -0.07686672810406328 51.5171316, -0.07710157439842368 51.516850704290114, -0.07729620797918185 51.51655813312027, -0.07744914756726527 51.51625611313372, -0.07755922920006117 51.51594694288493, -0.07762561508987488 51.51563297534617, -0.0776478 51.5153166, -0.07762561508987488 51.515000224653825, -0.07755922920006117 51.514686257115066, -0.07744914756726527 51.514377086866276, -0.07729620797918185 51.51407506687973, -0.07710157439842368 51.51378249570988, -0.07686672810406328 51.5135016, -0.07659345641820482 51.51323451753604, -0.07628383910338364 51.51298328097683, -0.07594023253431757 51.51274980238429, -0.07556525176447253 51.51253585867148, -0.0751617506239266 51.512343078079226, -0.0747328 51.51217292778426, -0.07428166446594828 51.51202670273305, -0.07381177743558864 51.511905515786545, -0.0733267150329477 51.51181028925057, -0.0728301688757982 51.51174174785656, -0.07232591798021885 51.511700413245926, -0.0718178 51.5116866, -0.07130968201978116 51.511700413245926, -0.0708054311242018 51.51174174785656, -0.0703088849670523 51.51181028925057, -0.06982382256441134 51.511905515786545, -0.06935393553405172 51.51202670273305, -0.0689028 51.51217292778426, -0.0684738493760734 51.512343078079226, -0.06807034823552748 51.51253585867148, -0.06769536746568243 51.51274980238429, -0.06735176089661636 51.51298328097683, -0.06704214358179518 51.51323451753604, -0.06676887189593672 51.5135016, -0.06653402560157633 51.51378249570988, -0.06633939202081815 51.51407506687973, -0.06618645243273473 51.514377086866276, -0.06607637079993883 51.514686257115066, -0.06600998491012512 51.515000224653825, -0.0659878 51.5153166))"
Angel,"POLYGON((-0.100199 51.532249, -0.10022118491012512 51.532565375346174, -0.10028757079993883 51.53287934288493, -0.10039765243273473 51.53318851313372, -0.10055059202081815 51.53349053312027, -0.10074522560157632 51.533783104290116, -0.10098007189593672 51.534064, -0.10125334358179518 51.53433108246396, -0.10156296089661636 51.534582319023166, -0.10190656746568243 51.53481579761571, -0.10228154823552747 51.53502974132852, -0.1026850493760734 51.53522252192077, -0.103114 51.535392672215735, -0.10356513553405172 51.535538897266946, -0.10403502256441136 51.535660084213454, -0.1045200849670523 51.53575531074943, -0.10501663112420179 51.53582385214344, -0.10552088201978115 51.53586518675407, -0.106029 51.535879, -0.10653711798021885 51.53586518675407, -0.1070413688757982 51.53582385214344, -0.1075379150329477 51.53575531074943, -0.10802297743558865 51.535660084213454, -0.10849286446594827 51.535538897266946, -0.108944 51.535392672215735, -0.1093729506239266 51.53522252192077, -0.10977645176447252 51.53502974132852, -0.11015143253431757 51.53481579761571, -0.11049503910338364 51.534582319023166, -0.11080465641820482 51.53433108246396, -0.11107792810406328 51.534064, -0.11131277439842367 51.533783104290116, -0.11150740797918185 51.53349053312027, -0.11166034756726527 51.53318851313372, -0.11177042920006117 51.53287934288493, -0.11183681508987488 51.532565375346174, -0.111859 51.532249, -0.11183681508987488 51.53193262465383, -0.11177042920006117 51.53161865711507, -0.11166034756726527 51.53130948686628, -0.11150740797918185 51.53100746687973, -0.11131277439842367 51.530714895709885, -0.11107792810406328 51.530434, -0.11080465641820482 51.53016691753604, -0.11049503910338364 51.529915680976835, -0.11015143253431757 51.52968220238429, -0.10977645176447252 51.52946825867148, -0.1093729506239266 51.52927547807923, -0.108944 51.529105327784265, -0.10849286446594827 51.528959102733054, -0.10802297743558864 51.528837915786546, -0.1075379150329477 51.52874268925057, -0.1070413688757982 51.52867414785656, -0.10653711798021885 51.52863281324593, -0.106029 51.528619, -0.10552088201978116 51.52863281324593, -0.1050166311242018 51.52867414785656, -0.1045200849670523 51.52874268925057, -0.10403502256441134 51.528837915786546, -0.10356513553405172 51.528959102733054, -0.103114 51.529105327784265, -0.1026850493760734 51.52927547807923, -0.10228154823552747 51.52946825867148, -0.10190656746568243 51.52968220238429, -0.10156296089661636 51.529915680976835, -0.10125334358179518 51.53016691753604, -0.10098007189593672 51.530434, -0.10074522560157632 51.530714895709885, -0.10055059202081815 51.53100746687973, -0.10039765243273473 51.53130948686628, -0.10028757079993883 51.53161865711507, -0.10022118491012512 51.53193262465383, -0.100199 51.532249))"
Baker Street,"POLYGON((-0.151033 51.5231548, -0.15105518491012512 51.523471175346174, -0.15112157079993882 51.52378514288493, -0.15123165243273473 51.52409431313372, -0.15138459202081817 51.52439633312027, -0.15157922560157633 51.524688904290116, -0.15181407189593674 51.5249698, -0.15208734358179518 51.52523688246396, -0.15239696089661636 51.525488119023166, -0.15274056746568243 51.52572159761571, -0.15311554823552748 51.52593554132852, -0.1535190493760734 51.52612832192077, -0.153948 51.526298472215736, -0.1543991355340517 51.526444697266946, -0.15486902256441135 51.526565884213454, -0.1553540849670523 51.52666111074943, -0.1558506311242018 51.52672965214344, -0.15635488201978115 51.52677098675407, -0.156863 51.5267848, -0.15737111798021886 51.52677098675407, -0.1578753688757982 51.52672965214344, -0.1583719150329477 51.52666111074943, -0.15885697743558866 51.526565884213454, -0.1593268644659483 51.526444697266946, -0.159778 51.526298472215736, -0.1602069506239266 51.52612832192077, -0.16061045176447253 51.52593554132852, -0.16098543253431757 51.52572159761571, -0.16132903910338364 51.525488119023166, -0.16163865641820482 51.52523688246396, -0.16191192810406327 51.5249698, -0.16214677439842368 51.524688904290116, -0.16234140797918184 51.52439633312027, -0.16249434756726527 51.52409431313372, -0.16260442920006118 51.52378514288493, -0.16267081508987488 51.523471175346174, -0.162693 51.5231548, -0.16267081508987488 51.52283842465383, -0.16260442920006118 51.52252445711507, -0.16249434756726527 51.52221528686628, -0.16234140797918184 51.52191326687973, -0.16214677439842368 51.521620695709885, -0.16191192810406327 51.5213398, -0.16163865641820482 51.52107271753604, -0.16132903910338364 51.520821480976835, -0.16098543253431757 51.520588002384294, -0.16061045176447253 51.52037405867148, -0.1602069506239266 51.52018127807923, -0.159778 51.520011127784265, -0.1593268644659483 51.519864902733055, -0.15885697743558866 51.51974371578655, -0.1583719150329477 51.51964848925057, -0.1578753688757982 51.51957994785656, -0.15737111798021886 51.51953861324593, -0.156863 51.5195248, -0.15635488201978115 51.51953861324593, -0.1558506311242018 51.51957994785656, -0.1553540849670523 51.51964848925057, -0.15486902256441135 51.51974371578655, -0.1543991355340517 51.519864902733055, -0.153948 51.520011127784265, -0.1535190493760734 51.52018127807923, -0.15311554823552748 51.52037405867148, -0.15274056746568243 51.520588002384294, -0.15239696089661636 51.520821480976835, -0.15208734358179518 51.52107271753604, -0.15181407189593674 51.5213398, -0.15157922560157633 51.521620695709885, -0.15138459202081817 51.52191326687973, -0.15123165243273473 51.52221528686628, -0.15112157079993882 51.52252445711507, -0.15105518491012512 51.52283842465383, -0.151033 51.5231548))"
Bank Station,"POLYGON((-0.08308449999999999 51.513388, -0.08310668491012511 51.51370437534617, -0.08317307079993883 51.51401834288493, -0.08328315243273472 51.51432751313372, -0.08343609202081814 51.51462953312027, -0.08363072560157632 51.514922104290115, -0.08386557189593671 51.515203, -0.08413884358179517 51.515470082463956, -0.08444846089661635 51.515721319023164, -0.08479206746568242 51.515954797615706, -0.08516704823552747 51.51616874132852, -0.08557054937607339 51.51636152192077, -0.08599949999999999 51.516531672215734, -0.08645063553405172 51.516677897266945, -0.08692052256441135 51.51679908421345, -0.0874055849670523 51.51689431074943, -0.08790213112420178 51.516962852143436, -0.08840638201978114 51.51700418675407, -0.0889145 51.517018, -0.08942261798021885 51.51700418675407, -0.08992686887579819 51.516962852143436, -0.0904234150329477 51.51689431074943, -0.09090847743558865 51.51679908421345, -0.09137836446594827 51.516677897266945, -0.0918295 51.516531672215734, -0.0922584506239266 51.51636152192077, -0.09266195176447252 51.51616874132852, -0.09303693253431757 51.515954797615706, -0.09338053910338363 51.515721319023164, -0.09369015641820481 51.515470082463956, -0.09396342810406327 51.515203, -0.09419827439842367 51.514922104290115, -0.09439290797918184 51.51462953312027, -0.09454584756726526 51.51432751313372, -0.09465592920006116 51.51401834288493, -0.09472231508987487 51.51370437534617, -0.0947445 51.513388, -0.09472231508987487 51.513071624653826, -0.09465592920006116 51.51275765711507, -0.09454584756726526 51.512448486866276, -0.09439290797918184 51.51214646687973, -0.09419827439842367 51.51185389570988, -0.09396342810406327 51.511573, -0.09369015641820481 51.51130591753604, -0.09338053910338363 51.511054680976834, -0.09303693253431757 51.51082120238429, -0.09266195176447252 51.51060725867148, -0.0922584506239266 51.51041447807923, -0.0918295 51.510244327784264, -0.09137836446594827 51.51009810273305, -0.09090847743558864 51.509976915786545, -0.0904234150329477 51.50988168925057, -0.08992686887579819 51.50981314785656, -0.08942261798021885 51.509771813245926, -0.0889145 51.509758, -0.08840638201978115 51.509771813245926, -0.0879021311242018 51.50981314785656, -0.0874055849670523 51.50988168925057, -0.08692052256441134 51.509976915786545, -0.08645063553405172 51.51009810273305, -0.08599949999999999 51.510244327784264, -0.08557054937607339 51.51041447807923, -0.08516704823552747 51.51060725867148, -0.08479206746568242 51.51082120238429, -0.08444846089661635 51.511054680976834, -0.08413884358179517 51.51130591753604, -0.08386557189593671 51.511573, -0.08363072560157632 51.51185389570988, -0.08343609202081814 51.51214646687973, -0.08328315243273472 51.512448486866276, -0.08317307079993883 51.51275765711507, -0.08310668491012511 51.513071624653826, -0.08308449999999999 51.513388))"
Barbican,"POLYGON((-0.09184709999999999 51.5202192, -0.09186928491012511 51.52053557534617, -0.09193567079993882 51.52084954288493, -0.09204575243273472 51.52115871313372, -0.09219869202081814 51.52146073312027, -0.09239332560157631 51.521753304290115, -0.09262817189593671 51.5220342, -0.09290144358179517 51.52230128246396, -0.09321106089661635 51.522552519023165, -0.09355466746568242 51.522785997615706, -0.09392964823552746 51.52299994132852, -0.09433314937607339 51.52319272192077, -0.09476209999999999 51.523362872215735, -0.09521323553405171 51.523509097266945, -0.09568312256441133 51.52363028421345, -0.09616818496705229 51.52372551074943, -0.09666473112420179 51.52379405214344, -0.09716898201978114 51.52383538675407, -0.09767709999999999 51.5238492, -0.09818521798021884 51.52383538675407, -0.09868946887579819 51.52379405214344, -0.09918601503294769 51.52372551074943, -0.09967107743558865 51.52363028421345, -0.10014096446594827 51.523509097266945, -0.10059209999999999 51.523362872215735, -0.10102105062392659 51.52319272192077, -0.10142455176447251 51.52299994132852, -0.10179953253431756 51.522785997615706, -0.10214313910338363 51.522552519023165, -0.10245275641820481 51.52230128246396, -0.10272602810406327 51.5220342, -0.10296087439842366 51.521753304290115, -0.10315550797918184 51.52146073312027, -0.10330844756726526 51.52115871313372, -0.10341852920006116 51.52084954288493, -0.10348491508987487 51.52053557534617, -0.10350709999999999 51.5202192, -0.10348491508987487 51.519902824653826, -0.10341852920006116 51.51958885711507, -0.10330844756726526 51.51927968686628, -0.10315550797918184 51.51897766687973, -0.10296087439842366 51.518685095709884, -0.10272602810406327 51.5184042, -0.10245275641820481 51.51813711753604, -0.10214313910338363 51.517885880976834, -0.10179953253431756 51.51765240238429, -0.10142455176447251 51.51743845867148, -0.10102105062392659 51.51724567807923, -0.10059209999999999 51.517075527784264, -0.10014096446594827 51.516929302733054, -0.09967107743558863 51.516808115786546, -0.09918601503294769 51.51671288925057, -0.09868946887579819 51.51664434785656, -0.09818521798021884 51.51660301324593, -0.09767709999999999 51.5165892, -0.09716898201978115 51.51660301324593, -0.09666473112420179 51.51664434785656, -0.09616818496705229 51.51671288925057, -0.09568312256441133 51.516808115786546, -0.09521323553405171 51.516929302733054, -0.09476209999999999 51.517075527784264, -0.09433314937607339 51.51724567807923, -0.09392964823552746 51.51743845867148, -0.09355466746568242 51.51765240238429, -0.09321106089661635 51.517885880976834, -0.09290144358179517 51.51813711753604, -0.09262817189593671 51.5184042, -0.09239332560157631 51.518685095709884, -0.09219869202081814 51.51897766687973, -0.09204575243273472 51.51927968686628, -0.09193567079993882 51.51958885711507, -0.09186928491012511 51.519902824653826, -0.09184709999999999 51.5202192))"
Battersea Power Station,"POLYGON((-0.13604449999999998 51.479774, -0.1360666849101251 51.48009037534617, -0.1361330707999388 51.48040434288493, -0.13624315243273472 51.48071351313372, -0.13639609202081815 51.48101553312027, -0.1365907256015763 51.481308104290115, -0.13682557189593672 51.481589, -0.13709884358179517 51.481856082463956, -0.13740846089661635 51.482107319023164, -0.13775206746568242 51.482340797615706, -0.13812704823552746 51.48255474132852, -0.1385305493760734 51.48274752192077, -0.13895949999999999 51.482917672215734, -0.1394106355340517 51.483063897266945, -0.13988052256441133 51.48318508421345, -0.1403655849670523 51.48328031074943, -0.1408621311242018 51.483348852143436, -0.14136638201978113 51.48339018675407, -0.1418745 51.483404, -0.14238261798021884 51.48339018675407, -0.14288686887579818 51.483348852143436, -0.1433834150329477 51.48328031074943, -0.14386847743558864 51.48318508421345, -0.14433836446594828 51.483063897266945, -0.1447895 51.482917672215734, -0.14521845062392658 51.48274752192077, -0.1456219517644725 51.48255474132852, -0.14599693253431756 51.482340797615706, -0.14634053910338363 51.482107319023164, -0.1466501564182048 51.481856082463956, -0.14692342810406325 51.481589, -0.14715827439842366 51.481308104290115, -0.14735290797918182 51.48101553312027, -0.14750584756726526 51.48071351313372, -0.14761592920006117 51.48040434288493, -0.14768231508987487 51.48009037534617, -0.1477045 51.479774, -0.14768231508987487 51.479457624653826, -0.14761592920006117 51.47914365711507, -0.14750584756726526 51.478834486866276, -0.14735290797918182 51.47853246687973, -0.14715827439842366 51.47823989570988, -0.14692342810406325 51.477959, -0.1466501564182048 51.47769191753604, -0.14634053910338363 51.477440680976834, -0.14599693253431756 51.47720720238429, -0.1456219517644725 51.47699325867148, -0.14521845062392658 51.47680047807923, -0.1447895 51.476630327784264, -0.14433836446594828 51.47648410273305, -0.14386847743558864 51.476362915786545, -0.1433834150329477 51.47626768925057, -0.14288686887579818 51.47619914785656, -0.14238261798021884 51.476157813245926, -0.1418745 51.476144, -0.14136638201978113 51.476157813245926, -0.1408621311242018 51.47619914785656, -0.1403655849670523 51.47626768925057, -0.13988052256441133 51.476362915786545, -0.1394106355340517 51.47648410273305, -0.13895949999999999 51.476630327784264, -0.1385305493760734 51.47680047807923, -0.13812704823552746 51.47699325867148, -0.13775206746568242 51.47720720238429, -0.13740846089661635 51.477440680976834, -0.13709884358179517 51.47769191753604, -0.13682557189593672 51.477959, -0.1365907256015763 51.47823989570988, -0.13639609202081815 51.47853246687973, -0.13624315243273472 51.478834486866276, -0.1361330707999388 51.47914365711507, -0.1360666849101251 51.479457624653826, -0.13604449999999998 51.479774))"
Bayswater,"POLYGON((-0.1819394 51.5123525, -0.18196158491012512 51.51266887534617, -0.18202797079993882 51.51298284288493, -0.18213805243273473 51.51329201313372, -0.18229099202081817 51.51359403312027, -0.18248562560157633 51.513886604290114, -0.18272047189593674 51.5141675, -0.18299374358179518 51.514434582463956, -0.18330336089661636 51.514685819023164, -0.18364696746568243 51.514919297615705, -0.18402194823552748 51.51513324132852, -0.1844254493760734 51.51532602192077, -0.1848544 51.515496172215734, -0.1853055355340517 51.515642397266944, -0.18577542256441135 51.51576358421345, -0.1862604849670523 51.51585881074943, -0.1867570311242018 51.515927352143436, -0.18726128201978115 51.51596868675407, -0.1877694 51.5159825, -0.18827751798021886 51.51596868675407, -0.1887817688757982 51.515927352143436, -0.1892783150329477 51.51585881074943, -0.18976337743558866 51.51576358421345, -0.1902332644659483 51.515642397266944, -0.1906844 51.515496172215734, -0.1911133506239266 51.51532602192077, -0.19151685176447253 51.51513324132852, -0.19189183253431757 51.514919297615705, -0.19223543910338364 51.514685819023164, -0.19254505641820482 51.514434582463956, -0.19281832810406327 51.5141675, -0.19305317439842368 51.513886604290114, -0.19324780797918184 51.51359403312027, -0.19340074756726527 51.51329201313372, -0.19351082920006119 51.51298284288493, -0.19357721508987488 51.51266887534617, -0.1935994 51.5123525, -0.19357721508987488 51.512036124653825, -0.19351082920006119 51.51172215711507, -0.19340074756726527 51.511412986866276, -0.19324780797918184 51.51111096687973, -0.19305317439842368 51.51081839570988, -0.19281832810406327 51.5105375, -0.19254505641820482 51.51027041753604, -0.19223543910338364 51.51001918097683, -0.19189183253431757 51.50978570238429, -0.19151685176447253 51.50957175867148, -0.1911133506239266 51.509378978079226, -0.1906844 51.50920882778426, -0.1902332644659483 51.50906260273305, -0.18976337743558866 51.508941415786545, -0.1892783150329477 51.50884618925057, -0.1887817688757982 51.50877764785656, -0.18827751798021886 51.508736313245926, -0.1877694 51.5087225, -0.18726128201978115 51.508736313245926, -0.1867570311242018 51.50877764785656, -0.1862604849670523 51.50884618925057, -0.18577542256441135 51.508941415786545, -0.1853055355340517 51.50906260273305, -0.1848544 51.50920882778426, -0.1844254493760734 51.509378978079226, -0.18402194823552748 51.50957175867148, -0.18364696746568243 51.50978570238429, -0.18330336089661636 51.51001918097683, -0.18299374358179518 51.51027041753604, -0.18272047189593674 51.5105375, -0.18248562560157633 51.51081839570988, -0.18229099202081817 51.51111096687973, -0.18213805243273473 51.511412986866276, -0.18202797079993882 51.51172215711507, -0.18196158491012512 51.512036124653825, -0.1819394 51.5123525))"
Blackfriars,"POLYGON((-0.0972951 51.5114726, -0.09731728491012512 51.51178897534617, -0.09738367079993883 51.51210294288493, -0.09749375243273473 51.51241211313372, -0.09764669202081815 51.51271413312027, -0.09784132560157632 51.51300670429011, -0.09807617189593672 51.5132876, -0.09834944358179518 51.513554682463955, -0.09865906089661636 51.51380591902316, -0.09900266746568243 51.514039397615704, -0.09937764823552747 51.51425334132852, -0.0997811493760734 51.51444612192077, -0.1002101 51.51461627221573, -0.10066123553405172 51.51476249726694, -0.10113112256441134 51.51488368421345, -0.1016161849670523 51.51497891074943, -0.1021127311242018 51.515047452143435, -0.10261698201978114 51.51508878675407, -0.1031251 51.5151026, -0.10363321798021885 51.51508878675407, -0.1041374688757982 51.515047452143435, -0.1046340150329477 51.51497891074943, -0.10511907743558865 51.51488368421345, -0.10558896446594827 51.51476249726694, -0.1060401 51.51461627221573, -0.1064690506239266 51.51444612192077, -0.10687255176447252 51.51425334132852, -0.10724753253431757 51.514039397615704, -0.10759113910338364 51.51380591902316, -0.10790075641820482 51.513554682463955, -0.10817402810406328 51.5132876, -0.10840887439842367 51.51300670429011, -0.10860350797918185 51.51271413312027, -0.10875644756726527 51.51241211313372, -0.10886652920006117 51.51210294288493, -0.10893291508987488 51.51178897534617, -0.1089551 51.5114726, -0.10893291508987488 51.511156224653824, -0.10886652920006117 51.510842257115065, -0.10875644756726527 51.510533086866275, -0.10860350797918185 51.510231066879726, -0.10840887439842367 51.50993849570988, -0.10817402810406328 51.5096576, -0.10790075641820482 51.50939051753604, -0.10759113910338364 51.50913928097683, -0.10724753253431757 51.50890580238429, -0.10687255176447252 51.508691858671476, -0.1064690506239266 51.508499078079225, -0.1060401 51.50832892778426, -0.10558896446594827 51.50818270273305, -0.10511907743558864 51.508061515786544, -0.1046340150329477 51.50796628925057, -0.1041374688757982 51.50789774785656, -0.10363321798021885 51.507856413245925, -0.1031251 51.5078426, -0.10261698201978116 51.507856413245925, -0.1021127311242018 51.50789774785656, -0.1016161849670523 51.50796628925057, -0.10113112256441134 51.508061515786544, -0.10066123553405172 51.50818270273305, -0.1002101 51.50832892778426, -0.0997811493760734 51.508499078079225, -0.09937764823552747 51.508691858671476, -0.09900266746568243 51.50890580238429, -0.09865906089661636 51.50913928097683, -0.09834944358179518 51.50939051753604, -0.09807617189593672 51.5096576, -0.09784132560157632 51.50993849570988, -0.09764669202081815 51.510231066879726, -0.09749375243273473 51.510533086866275, -0.09738367079993883 51.510842257115065, -0.09731728491012512 51.511156224653824, -0.0972951 51.5114726))"
Bond Street,"POLYGON((-0.1430249 51.5143352, -0.14304708491012513 51.51465157534617, -0.14311347079993883 51.51496554288493, -0.14322355243273474 51.51527471313372, -0.14337649202081817 51.51557673312027, -0.14357112560157634 51.51586930429011, -0.14380597189593675 51.5161502, -0.1440792435817952 51.516417282463955, -0.14438886089661637 51.51666851902316, -0.14473246746568244 51.516901997615705, -0.1451074482355275 51.51711594132852, -0.14551094937607342 51.51730872192077, -0.1459399 51.51747887221573, -0.14639103553405172 51.517625097266944, -0.14686092256441136 51.51774628421345, -0.1473459849670523 51.51784151074943, -0.14784253112420181 51.517910052143435, -0.14834678201978116 51.51795138675407, -0.1488549 51.5179652, -0.14936301798021887 51.51795138675407, -0.1498672688757982 51.517910052143435, -0.1503638150329477 51.51784151074943, -0.15084887743558867 51.51774628421345, -0.1513187644659483 51.517625097266944, -0.1517699 51.51747887221573, -0.1521988506239266 51.51730872192077, -0.15260235176447254 51.51711594132852, -0.15297733253431758 51.516901997615705, -0.15332093910338365 51.51666851902316, -0.15363055641820483 51.516417282463955, -0.15390382810406328 51.5161502, -0.1541386743984237 51.51586930429011, -0.15433330797918185 51.51557673312027, -0.15448624756726528 51.51527471313372, -0.1545963292000612 51.51496554288493, -0.1546627150898749 51.51465157534617, -0.15468490000000001 51.5143352, -0.1546627150898749 51.514018824653824, -0.1545963292000612 51.513704857115066, -0.15448624756726528 51.513395686866275, -0.15433330797918185 51.513093666879726, -0.1541386743984237 51.51280109570988, -0.15390382810406328 51.5125202, -0.15363055641820483 51.51225311753604, -0.15332093910338365 51.51200188097683, -0.15297733253431758 51.51176840238429, -0.15260235176447254 51.511554458671476, -0.1521988506239266 51.511361678079226, -0.1517699 51.51119152778426, -0.15131876446594827 51.51104530273305, -0.15084887743558867 51.510924115786544, -0.1503638150329477 51.51082888925057, -0.1498672688757982 51.51076034785656, -0.14936301798021887 51.510719013245925, -0.1488549 51.5107052, -0.14834678201978116 51.510719013245925, -0.14784253112420181 51.51076034785656, -0.1473459849670523 51.51082888925057, -0.14686092256441136 51.510924115786544, -0.14639103553405172 51.51104530273305, -0.1459399 51.51119152778426, -0.14551094937607342 51.511361678079226, -0.1451074482355275 51.511554458671476, -0.14473246746568244 51.51176840238429, -0.14438886089661637 51.51200188097683, -0.1440792435817952 51.51225311753604, -0.14380597189593675 51.5125202, -0.14357112560157634 51.51280109570988, -0.14337649202081817 51.513093666879726, -0.14322355243273474 51.513395686866275, -0.14311347079993883 51.513704857115066, -0.14304708491012513 51.514018824653824, -0.1430249 51.5143352))"
