WKT,name,description
"POINT (-0.0755189 51.5141643)",Aldgate,
"POINT (-0.0718178 51.5153166)",Aldgate East,
"POINT (-0.106029 51.532249)",Angel,
"POINT (-0.156863 51.5231548)",Baker Street,
"POINT (-0.0889145 51.513388)",Bank Station,
"POINT (-0.09767709999999999 51.5202192)",Barbican,
"POINT (-0.1418745 51.479774)",Battersea Power Station,
"POINT (-0.1877694 51.5123525)",Bayswater,
"POINT (-0.1031251 51.5114726)",Blackfriars,
"POINT (-0.1488549 51.5143352)",Bond Street,
"POINT (-0.0936138 51.5012449)",Borough,
"POINT (-0.0903503 51.5110809)",Cannon Street,
"POINT (-0.1114984 51.5182067)",Chancery Lane,
"POINT (-0.125542 51.5082971)",Charing Cross,
"POINT (-0.1241621 51.5130007)",Covent Garden,
"POINT (-0.1701944 51.5202914)",Edgware Road (Bakerloo Line),
"POINT (-0.1678336 51.51988249999999)",Edgware Road (Circle Line),
"POINT (-0.1221937 51.5072554)",Embankment,
"POINT (-0.133208 51.528465)",Euston,
"POINT (-0.1350197 51.525635)",Euston Square,
"POINT (-0.1047447 51.5201624)",Farringdon,
"POINT (-0.1827321 51.49440480000001)",Gloucester Road,
"POINT (-0.1344842 51.5206203)",Goodge Street,
"POINT (-0.1439184 51.5237421)",Great Portland Street,
"POINT (-0.1428838 51.5069327)",Green Park,
"POINT (-0.1926463 51.5008834)",High Street Kensington,
"POINT (-0.1199958 51.5174277)",Holborn,
"POINT (-0.1523499 51.50302629999999)",Hyde Park Corner,
"POINT (-0.1231666 51.53066279999999)",King's Cross St. Pancras,
"POINT (-0.1605382 51.5015326)",Knightsbridge,
"POINT (-0.1121086 51.4989177)",Lambeth North,
"POINT (-0.1753674 51.5118099)",Lancaster Gate,
"POINT (-0.128144 51.511451)",Leicester Square,
"POINT (-0.08296669999999999 51.5174331)",Liverpool Street,
"POINT (-0.0869692 51.5058624)",London Bridge,
"POINT (-0.0936332 51.5122905)",Mansion House,
"POINT (-0.1583233 51.5134352)",Marble Arch,
"POINT (-0.1628383 51.5224345)",Marylebone,
"POINT (-0.0866591 51.51100229999999)",Monument,
"POINT (-0.0883927 51.5185071)",Moorgate,
"POINT (-0.1290947 51.48008859999999)",Nine Elms,
"POINT (-0.08753 51.5256641)",Old Street,
"POINT (-0.1418553 51.51521169999999)",Oxford Circus,
"POINT (-0.1341683 51.510121)",Piccadilly Circus,
"POINT (-0.133332 51.4892548)",Pimlico,
"POINT (-0.187208 51.510456)",Queensway,
"POINT (-0.1467184 51.5235971)",Regent's Park,
"POINT (-0.1242635 51.5230788)",Russell Square,
"POINT (-0.1337107 51.499479)",St. James's Park,
"POINT (-0.0975571 51.5149293)",St. Paul's,
"POINT (-0.1564328 51.4923519)",Sloane Square,
"POINT (-0.1739576 51.49415579999999)",South Kensington,
"POINT (-0.1049685 51.503926)",Southwark,
"POINT (-0.1142932 51.5109998)",Temple,
"POINT (-0.1300406 51.5162811)",Tottenham Court Road,
"POINT (-0.07666089999999999 51.5101178)",Tower Hill,
"POINT (-0.1437301 51.495665)",Victoria,
"POINT (-0.1381671 51.5246192)",Warren Street,
"POINT (-0.1151239 51.5030796)",Waterloo,
"POINT (-0.1248413 51.501343)",Westminster,
"POINT (-0.1938947 51.4915767)",Earl's Court,
"POINT (-0.100329 51.4946011)",Elephant & Castle,
"POINT (-0.105614 51.48827370000001)",Kennington,
"POINT (-0.1963494 51.5091207)",Notting Hill Gate,
"POINT (-0.1239279 51.4859811)",Vauxhall,
"POINT (-0.1056624 51.5584175)",Arsenal,
"POINT (-0.2135906 51.4903156)",Barons Court,
"POINT (-0.1642939 51.55046420000001)",Belsize Park,
"POINT (-0.0637319 51.4978636)",Bermondsey,
"POINT (-0.0554846 51.5273197)",Bethnal Green (Central),
"POINT (-0.024766 51.52695929999999)",Bow Road,
"POINT (-0.1147482 51.4625983)",Brixton,
"POINT (-0.1182525 51.54855149999999)",Caledonian Road,
"POINT (-0.1426546 51.5393847)",Camden Town,
"POINT (-0.049693 51.49798999999999)",Canada Water,
"POINT (-0.153844 51.5440281)",Chalk Farm,
"POINT (-0.138353 51.4617867)",Clapham Common,
"POINT (-0.1295309 51.4650932)",Clapham North,
"POINT (-0.2474664 51.5166167)",East Acton,
"POINT (-0.1798916 51.5469511)",Finchley Road,
"POINT (-0.1057405 51.564728)",Finsbury Park,
"POINT (-0.1943638 51.4803328)",Fulham Broadway,
"POINT (-0.2264944 51.5018056)",Goldhawk Road,
"POINT (-0.1039936 51.5461245)",Highbury & Islington Station,
"POINT (-0.2056515 51.5073729)",Holland Park,
"POINT (-0.1128521 51.55283319999999)",Holloway Road,
"POINT (-0.225247 51.53054)",Kensal Green,
"POINT (-0.2099576 51.4979934)",Kensington (Olympia),
"POINT (-0.1405159 51.5503953)",Kentish Town,
"POINT (-0.2044711 51.546955)",Kilburn,
"POINT (-0.1938988 51.53504119999999)",Kilburn Park,
"POINT (-0.2102767 51.5173473)",Ladbroke Grove,
"POINT (-0.2177014 51.5134548)",Latimer Road,
"POINT (-0.1857278 51.52987779999999)",Maida Vale,
"POINT (-0.0334172 51.5251447)",Mile End,
"POINT (-0.1388961 51.5343501)",Mornington Crescent,
"POINT (-0.1127875 51.4820272)",Oval,
"POINT (-0.2010216 51.4752816)",Parsons Green,
"POINT (-0.2089232 51.4679691)",Putney Bridge,
"POINT (-0.2046848 51.53416619999999)",Queen's Park,
"POINT (-0.2360776 51.4939959)",Ravenscourt Park,
"POINT (-0.1886014 51.5191449)",Royal Oak,
"POINT (-0.1740969 51.5347066)",St. John's Wood,
"POINT (-0.2185212 51.50475369999999)",Shepherd's Bush,
"POINT (-0.2262516 51.5056503)",Shepherd's Bush Market,
"POINT (-0.2455718 51.4948605)",Stamford Brook,
"POINT (-0.0466614 51.5219664)",Stepney Green,
"POINT (-0.1228245 51.4723538)",Stockwell,
"POINT (-0.1745193 51.5436884)",Swiss Cottage,
"POINT (-0.1379821 51.5567509)",Tufnell Park,
"POINT (-0.1838447 51.52325459999999)",Warwick Avenue,
"POINT (-0.1955259 51.4872384)",West Brompton,
"POINT (-0.2064539 51.4905646)",West Kensington,
"POINT (-0.2245319 51.51194599999999)",White City,
"POINT (-0.0598846 51.5196519)",Whitechapel,
"POINT (-0.2242417 51.5100085)",Wood Lane,
"POINT (-0.1348735 51.5653976)",Archway,
"POINT (-0.0116202 51.5248722)",Bromley-by-Bow,
"POINT (0.008230699999999999 51.5139445)",Canning Town,
"POINT (-0.1478127 51.4527765)",Clapham South,
"POINT (-0.2107763 51.4590849)",East Putney,
"POINT (-0.1783368 51.55666040000001)",Hampstead,
"POINT (-0.0960443 51.57088599999999)",Manor House,
"POINT (-0.2597233 51.5234587)",North Acton,
"POINT (0.0035842 51.50024519999999)",North Greenwich,
"POINT (-0.003344 51.5411893)",Stratford,
"POINT (-0.2544554 51.4951856)",Turnham Green,
"POINT (0.005108199999999999 51.5280931)",West Ham,
"POINT (-0.2433689 51.53211630000001)",Willesden Junction,
"POINT (-0.1765854 51.51629819999999)",Paddington,
"POINT (-0.2243832 51.4930685)",Hammersmith,
"POINT (-0.1912376 51.547497)",West Hampstead,
"POINT (-0.2212208 51.54917529999999)",Willesden Green,
"POINT (-0.0737553 51.5106312)",Tower Gateway,
"POINT (-0.055815 51.51175550000001)",Shadwell,
"POINT (-0.0396847 51.5125604)",Limehouse,
"POINT (-0.0267966 51.5094877)",Westferry,
"POINT (-0.0205393 51.5068851)",West India Quay,
"POINT (-0.0176126 51.507794)",Poplar,
"POINT (-0.0070703 51.507963)",Blackwall,
"POINT (-0.0022067 51.5093311)",East India,
"POINT (-0.0129014 51.4648395)",Lewisham,
"POINT (-0.016657 51.4689589)",Elverson Road,
"POINT (-0.0224665 51.4742577)",Deptford Bridge,
"POINT (-0.0132503 51.47812)",Greenwich,
"POINT (-0.0109841 51.4816371)",Cutty Sark Station,
"POINT (-0.0104089 51.4880631)",Island Gardens,
"POINT (-0.0149936 51.4913268)",Mudchute,
"POINT (-0.0145118 51.4958465)",Crossharbour,
"POINT (-0.016348 51.5001399)",South Quay,
"POINT (-0.02145 51.5029405)",Heron Quays,
"POINT (-0.0208909 51.50510329999999)",Canary Wharf,
"POINT (-0.0130756 51.5109882)",All Saints,
"POINT (-0.0142224 51.5151784)",Langdon Park,
"POINT (-0.0174793 51.5225628)",Devons Road,
"POINT (-0.0209184 51.5278468)",Bow Church,
"POINT (-0.0133798 51.5338978)",Pudding Mill Lane,
"POINT (-5.563E-4 51.5380043)",Stratford High Street,
"POINT (0.0038001 51.5324885)",Abbey Road,
"POINT (0.0043191 51.5207507)",Star Lane,
"POINT (-0.009266 51.545692)",Stratford International,
"POINT (-0.1831297 51.5502704)",Finchley Road & Frognal,
"POINT (-0.1033475 51.5140438)",City Thameslink,
"POINT (-0.1021647 51.4662608)",Loughborough Junction,
"POINT (-0.1023462 51.4532181)",Herne Hill,
"POINT (-0.0267169 51.4788823)",Deptford,
"POINT (-0.04034210000000001 51.47503680000001)",New Cross Gate,
"POINT (-0.0322943 51.4763222)",New Cross,
"POINT (-0.05717080000000001 51.4739389)",Queens Road Peckham,
"POINT (-0.0693739 51.4700321)",Peckham Rye,
"POINT (-0.08960780000000002 51.46806369999999)",Denmark Hill,
"POINT (-0.1700497 51.4640143)",Clapham Junction,
"POINT (-0.1389654 51.4703089)",Wandsworth Road,
"POINT (-0.1315466 51.4650391)",Clapham High Street,
"POINT (-0.1826773 51.4750534)",Imperial Wharf,
"POINT (-0.2008292 51.5209896)",Westbourne Park,
"POINT (-0.2197528 51.534513)",Kensal Rise,
"POINT (-0.210112 51.5408407)",Brondesbury Park,
"POINT (-0.2021511 51.5452564)",Brondesbury,
"POINT (-0.1658907 51.5552509)",Hampstead Heath,
"POINT (-0.1511121 51.5552216)",Gospel Oak,
"POINT (-0.1466131 51.5468507)",Kentish Town West,
"POINT (-0.1391326 51.5418284)",Camden Road,
"POINT (-0.1149985 51.5435391)",Caledonian Road & Barnsbury,
"POINT (-0.09199 51.548538)",Canonbury,
"POINT (-0.0756269 51.54819130000001)",Dalston Kingsland,
"POINT (-0.0567593 51.5471285)",Hackney Central,
"POINT (-0.0423623 51.5470366)",Homerton,
"POINT (-0.0241583 51.5435421)",Hackney Wick,
"POINT (-0.0751485 51.5459999)",Dalston Junction,
"POINT (-0.07541529999999999 51.5387231)",Haggerston,
"POINT (-0.07578359999999999 51.5313653)",Hoxton,
"POINT (-0.0754661 51.5232573)",Shoreditch High Street,
"POINT (-0.0560318 51.50440469999999)",Wapping,
"POINT (-0.0519207 51.5008166)",Rotherhithe,
